Id,Answer
1,d
2,e
3,e
4,a
5,e
6,a
7,d
8,e
9,d
10,a
11,b
12,e
13,a
14,d
15,d
16,c
17,b
18,e
19,a
20,c
21,c
22,a
23,d
24,d
25,e
26,a
27,a
28,c
29,c
30,c
31,d
32,d
33,a
34,d
35,b
36,e
37,e
38,b
39,e
40,d
41,e
42,e
43,b
44,e
45,c
46,d
47,a
48,c
49,c
50,c
51,b
52,a
53,a
54,b
55,d
56,d
57,c
58,e
59,a
60,b
61,e
62,c
63,a
64,d
65,b
66,a
67,c
68,e
69,e
70,c
71,b
72,b
73,d
74,d
75,a
76,a
77,a
78,e
79,c
80,d
81,d
82,b
83,c
84,e
85,a
86,c
87,d
88,d
89,c
90,d
91,d
92,d
93,a
94,c
95,c
96,b
97,e
98,c
99,e
100,d
101,b
102,e
103,c
104,c
105,b
106,c
107,b
108,d
109,e
110,e
111,d
112,a
113,e
114,c
115,b
116,c
117,b
118,e
119,b
120,d
121,d
122,b
123,c
124,e
125,d
126,d
127,b
128,a
129,c
130,a
131,d
132,b
133,e
134,e
135,a
136,e
137,c
138,d
139,c
140,a
141,a
142,b
143,c
144,d
145,e
146,a
147,c
148,b
149,a
150,e
151,d
152,e
153,b
154,e
155,c
156,c
157,b
158,e
159,b
160,d
161,d
162,c
163,d
164,e
165,e
166,b
167,d
168,a
169,a
170,d
171,c
172,e
173,d
174,c
175,c
176,d
177,d
178,c
179,a
180,d
181,b
182,b
183,c
184,e
185,c
186,b
187,b
188,d
189,c
190,e
191,c
192,a
193,c
194,e
195,a
196,c
197,e
198,b
199,a
200,d
201,d
202,c
203,b
204,b
205,c
206,a
207,e
208,d
209,d
210,a
211,d
212,d
213,d
214,c
215,d
216,d
217,d
218,c
219,a
220,b
221,d
222,b
223,c
224,c
225,a
226,d
227,c
228,d
229,c
230,d
231,e
232,a
233,c
234,d
235,a
236,b
237,d
238,e
239,c
240,b
241,c
242,c
243,b
244,c
245,e
246,c
247,d
248,b
249,b
250,b
251,a
252,e
253,a
254,b
255,e
256,a
257,d
258,e
259,d
260,b
261,d
262,c
263,c
264,b
265,c
266,e
267,c
268,e
269,a
270,d
271,d
272,c
273,b
274,e
275,d
276,e
277,c
278,a
279,b
280,a
281,e
282,d
283,c
284,a
285,e
286,d
287,a
288,a
289,c
290,a
291,c
292,d
293,e
294,e
295,b
296,b
297,e
298,b
299,a
300,e
301,a
302,a
303,a
304,a
305,d
306,b
307,a
308,d
309,c
310,d
311,d
312,b
313,e
314,a
315,a
316,c
317,a
318,c
319,e
320,b
321,e
322,d
323,e
324,b
325,d
326,d
327,e
328,d
329,c
330,b
331,e
332,e
333,c
334,e
335,a
336,c
337,a
338,e
339,e
340,d
341,d
342,d
343,e
344,a
345,d
346,c
347,b
348,c
349,b
350,c
351,a
352,c
353,d
354,c
355,a
356,e
357,e
358,d
359,d
360,c
361,e
362,d
363,b
364,b
365,d
366,e
367,c
368,e
369,d
370,b
371,b
372,c
373,e
374,d
375,b
376,c
377,e
378,a
379,e
380,d
381,d
382,e
383,e
384,d
385,c
386,e
387,b
